시도명,시군구명,읍면동명,삭제일자
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,별내면,1995-01-01
경기도,남양주군,별내면,1995-01-01
경기도,남양주군,별내면,1995-01-01
경기도,남양주군,별내면,1995-01-01
경기도,남양주군,별내면,1995-01-01
경기도,남양주군,별내면,1995-01-01
경기도,남양주군,별내면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진접면,1989-03-31
경기도,남양주군,진건면,1995-01-01
경기도,남양주군,진건면,1988-04-23
경기도,남양주군,진건면,1988-04-23
경기도,남양주군,진건면,1988-04-23
경기도,남양주군,진건면,1995-01-01
경기도,남양주군,진건면,1995-01-01
경기도,남양주군,진건면,1995-01-01
경기도,남양주군,진건면,1995-01-01
경기도,남양주군,진건면,1995-01-01
경기도,남양주군,진건면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,수동면,1995-01-01
경기도,남양주군,화도면,1991-12-01
경기도,남양주군,화도면,1991-12-01
경기도,남양주군,화도면,1991-12-01
경기도,연천군,백학면,
경기도,연천군,백학면,
강원도,춘성군,신북면,1992-02-01
강원도,춘성군,신북면,1992-02-01
경기도,고양군,일산읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,벽제읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,지도읍,1992-02-01
경기도,고양군,화전읍,1992-02-01
경기도,고양군,화전읍,1992-02-01
경기도,고양군,화전읍,1992-02-01
경기도,고양군,화전읍,1992-02-01
경기도,고양군,화전읍,1992-02-01
경기도,고양군,송포면,1992-02-01
경기도,고양군,송포면,1992-02-01
경기도,고양군,송포면,1992-02-01
경기도,고양군,송포면,1992-02-01
경기도,고양군,송포면,1992-02-01
경기도,고양군,송포면,1992-02-01
경기도,광주군,,2001-03-21
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,광주면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,동부면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,대왕면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
경기도,광주군,낙생면,1988-04-23
